t_rel_s,cpu_pct,mem_pct,drop_rules
4.64,1.7,0.9,1
5.15,31.4,0.9,1
5.66,0.0,0.9,1
6.17,2.0,0.9,1
6.68,0.0,0.9,1
7.19,2.0,0.9,1
7.70,0.0,0.9,1
8.21,2.0,0.9,1
8.72,0.0,0.9,1
9.23,2.0,0.9,1
9.74,2.0,0.9,1
10.25,0.0,0.9,1
10.76,2.0,0.9,1
11.27,2.0,0.9,1
11.78,2.0,0.9,1
12.29,0.0,0.9,1
12.80,0.0,0.9,1
13.31,2.0,0.9,1
13.82,2.0,0.9,1
14.33,0.0,0.9,1
14.84,2.0,0.9,1
15.36,1.9,0.9,1
15.88,1.9,0.9,1
16.40,1.9,0.9,1
16.91,0.0,0.9,1
17.42,2.0,0.9,1
17.93,2.0,0.9,1
18.44,0.0,0.9,1
18.95,3.9,0.9,1
19.46,0.0,0.9,1
19.97,2.0,0.9,0
20.48,2.0,0.9,0
20.99,2.0,0.9,0
21.51,2.0,0.9,0
22.02,0.0,0.9,0
22.53,2.0,0.9,0
23.04,2.0,0.9,0
23.55,0.0,0.9,0
24.06,2.0,0.9,0
24.56,2.0,0.9,0
25.08,2.0,0.9,0
25.59,0.0,0.9,0
26.10,2.0,0.9,0
26.61,2.0,0.9,0
27.12,0.0,0.9,0
27.62,2.0,0.9,0
28.13,2.0,0.9,0
28.64,2.0,0.9,0
29.16,2.0,0.9,0
29.67,0.0,0.9,0
